	A1	A2	A3	B1	B2	B3
gene_0	0.598340734803675	15.00386947792856	4.7966680024015185	11.92794320023002	5.8152600430586645	4.0895710558817795
gene_1	7.346811546192401	8.829257401186277	19.264796268664835	6.0421065562010545	35.08934172640536	21.615655706069873
gene_2	5.851599686504036	21.933192215883828	46.11710499154473	21.358319036665925	5.947482231893922	2.8554828652764996
gene_3	3.4917866030277542	38.37300264524051	13.806071288397316	0.5503939288469653	13.115196802197747	14.328397967541742
gene_4	5.233040502864773	9.406839285358918	5.72089507254368	30.284645841290676	24.807900156367772	4.821137163508229
gene_5	12.109504559630885	10.488444465858306	19.500615728402295	17.07860475373754	9.454780667891855	6.209262445969241
gene_6	7.686445260276223	3.6782082796270528	8.387469907504721	11.506935875409676	2.4950907971795466	23.95199907821828
gene_7	21.906468074605684	17.28142514796627	7.408684623159116	6.460500792007586	8.335324622141606	2.558784308006359
gene_8	13.286268788505971	2.0001722702060727	7.880294045291692	9.250928400276305	1.2934040034133383	0.2685806418274109
gene_9	30.24797232088766	12.169974217031525	35.971969390451115	14.418736206540812	1.9689478324625407	8.481389484736225
gene_10	9.75413653252923	14.21694927663422	27.893813378869808	44.794048911404005	5.3012039799571955	21.17709663367277
gene_11	5.429585252491479	10.45120016502717	5.371332212696492	18.18874771832607	23.71777426132978	6.97525992564986
gene_12	21.87804878673246	11.182329276609666	41.01651815394191	22.81582262155017	2.953996351765806	23.927944433079173
gene_13	7.858045806186421	13.012995800486047	33.242776735393306	9.383420866714555	27.03469618657547	18.80149488398506
gene_14	15.238066357283188	5.6981047515426475	3.0735839803633014	24.042273733353817	0.20577773167403277	1.3190878194132543
gene_15	8.94336416498276	21.896249109369776	16.389005320486717	9.20028876630381	2.5475140764584046	12.357394470021497
gene_16	58.75993633773077	4.365212575925611	12.940714279776	1.98950530228544	1.704899429394895	20.165947397993946
gene_17	12.523131391520321	48.278843541033766	7.254402790572273	4.416092823817424	4.28841584504914	30.716307996072437
gene_18	18.07492911351465	11.79900437089737	9.89837996391793	14.74616603134747	5.3785744909627295	13.228813913626315
gene_19	7.270612066736382	57.4294308883463	0.7422250593594317	13.153275436553981	20.357586109883897	7.3515369151314625
gene_20	25.38822312395569	8.432083682520684	2.332181652532202	2.228201889136355	2.2092405910686947	11.520351286189289
gene_21	15.1970483602425	13.689317613381187	15.236890771035434	2.4151014220234837	7.427760611513163	32.096820416442824
gene_22	3.3693651832319196	17.983328984931482	34.85352813417048	23.62056169972666	11.321932954059877	7.779248951908418
gene_23	18.35521193031888	3.80602863942286	29.592161717101714	0.35523288284760846	25.459601659019782	45.703130577034806
gene_24	3.4033549954408198	2.562186764866216	4.893653765669272	29.015940934303906	14.683082762015626	13.835361447712152
gene_25	22.211186291674462	13.615494659269993	30.824380282109818	17.303513009411006	25.427934831854987	18.804124311242564
gene_26	5.522539138371058	0.7265623661353837	1.5736781499963146	11.174543688109353	23.646808169241357	0.8281753456843312
gene_27	3.015644763665988	2.7613075042656297	19.40767696046024	1.8173012558737498	18.929868183047144	25.79325850970673
gene_28	3.533125898557878	66.76315052951144	23.344315123784313	11.770771217121876	22.1417084350364	16.898204544776327
gene_29	3.3890787794877304	23.036951197752376	21.022798060176903	8.419617866720152	21.212410574550535	11.269627205089346
gene_30	23.140631382813513	3.009352824158455	9.597630479046451	3.53622196988487	12.232280326000112	32.371649762202786
gene_31	15.116220692911055	10.280024392530384	20.70095842342688	38.19529477374732	28.921058878192586	27.93481980959897
gene_32	12.851756622908226	10.756552834167508	28.937628548967552	8.869621199191196	26.145606063610416	2.0494549618336393
gene_33	22.87846743795715	12.891743056621543	8.363999178260627	19.068025259582452	3.423084365925193	7.703639669941023
gene_34	5.013605174378175	9.031149470732036	6.0560183619091825	80.11815718124623	10.335951828459093	33.975949925535474
gene_35	13.369824073189653	16.99029779100173	4.544860316328794	5.959678780059826	16.339893046618705	4.934885364461795
gene_36	13.466622650217502	16.932769829995383	4.067599088300803	24.336623802632687	13.574962071426215	5.454092653427045
